"depth_avg" "BestAD" "MinAD" "MaxAD"
0 2009 2009 2009
5 2004.82321116425 2004.63923496838 2005.00718736013
10 2000.64642232851 2000.27846993676 2001.01437472026
15 1996.46963349276 1995.91770490513 1997.02156208038
20 1992.29284465701 1991.55693987351 1993.02874944051
25 1988.11605582127 1987.19617484189 1989.03593680064
30 1983.93926698552 1982.83540981027 1985.04312416077
35 1979.76247814977 1978.47464477865 1981.0503115209
40 1975.58568931403 1974.11387974703 1977.05749888102
45 1971.40890047828 1969.7531147154 1973.06468624115
50 1967.23211164253 1965.39234968378 1969.07187360128
55 1963.05532280678 1961.03158465216 1965.07906096141
60 1958.87853397104 1956.67081962054 1961.08624832154
65 1954.70174513529 1952.31005458892 1957.09343568167
70 1950.52495629954 1947.94928955729 1953.10062304179
75 1946.3481674638 1943.58852452567 1949.10781040192
80 1942.17137862805 1939.22775949405 1945.11499776205
85 1937.9945897923 1934.86699446243 1941.12218512218
90 1933.81780095656 1930.50622943081 1937.12937248231
95 1929.64101212081 1926.14546439919 1933.13655984243
100 1925.46422328506 1921.78469936756 1929.14374720256
105 1921.28743444932 1917.42393433594 1925.15093456269
110 1917.11064561357 1913.06316930432 1921.15812192282
115 1912.93385677782 1908.7024042727 1917.16530928295
120 1908.75706794208 1904.34163924108 1913.17249664307
125 1904.58027910633 1899.98087420946 1909.1796840032
130 1900.40349027058 1895.62010917783 1905.18687136333
135 1896.22670143483 1891.25934414621 1901.19405872346
140 1892.04991259909 1886.89857911459 1897.20124608359
145 1887.87312376334 1882.53781408297 1893.20843344371
150 1883.69633492759 1878.17704905135 1889.21562080384
