"Full name of the participant"	"Institution"	"Country code"	"Contributed data"
"ERSOY, Zeynep"	"Universidad Rey Juan Carlos, Área de Biodiversidad y Conservación, Madrid, Spain"	"ES"	"-"
"BRUEL, Rosalie"	"Pôle R&D ECLA, OFB, Service EcoAqua, Aix-en-Provence, France"	"FR"	"-"
"CALDERÓ-PASCUAL, Maria"	"BETA Technological Center (UVic-UCC), Governance for Sustainability, 08500, Vic, Barcelona, Spain"	"ES"	"yes"
"BARTH, Lauren E"	"University of Toronto, Ecology and Evolutionary Biology, Grimsby, Ontario, Canada, L3M 0H3"	"CA"	"-"
"ANTON-PARDO, Maria"	"University of Valencia, Cavanilles Institute of Biodiversity and Evolutionary Biology, 46980 Paterna, Valencia, Spain"	"ES"	"yes"
"BALUDO, Marjohn Y"	"University of Konstanz, Limnological Institute, 78464 Konstanz, Germany"	"DE"	"yes"
"BARTRONS, Mireia"	"Universitat de Vic - Universitat Central de Catalunya, Department of Biosciences, Vic, Barcelona, Spain 08500"	"ES"	"yes"
"BERNARD, Anaëlle"	"Private personal institution, 63160 Espirat-France"	"FR"	"yes"
"BEYER, Jessica E"	"University of Oklahoma, Plankton Ecology and Limnology Laboratory, School of Biological Sciences, Norman, OK, USA"	"US"	"yes"
"BIZANI, Mfundo"	"South Africa Environmental Observatory Network (SAEON), Shallow Marine and Coastal Research Infrastructure, Summerstrand, Gqeberha, Eastern Cape"	"ZA"	"yes"
"BLACKBURN-DESBIENS, Pénélope"	"Université du Québec à Chicoutimi, Departement des sciences fondamentales, Chicoutimi, Québec, Canada"	"CA"	"yes"
"BRUCET, Sandra"	"Universitat de Vic - Universitat Central de Catalunya, ICREA, Catalan Institution for Research and Advanced Studies, Department of Biosciences, Vic, Barcelona, Spain 08500"	"ES"	"yes"
"CAREY, Cayelan C"	"Virginia Tech, Department of Biological Sciences, Blacksburg, VA, USA"	"US"	"yes"
"CHAGUACEDA, Fernando"	"IMDEA Water Institute, Madrid, Spain"	"ES"	"yes"
"CHRISTOFFERSEN, Kirsten S"	"University of Copenhagen, Dept of Biology, Freshwater Biology section, 2100 OE Copenhagen, Denmark"	"DK"	"yes"
"DE EYTO, Elvira"	"Marine institute, FEAS, Newport, Co. Mayo, Ireland"	"GB-NIR"	"yes"
"DIMANTE-DEIMANTOVICA, Inta"	"Latvian Institute of Aquatic Ecology, Riga, LV-1007"	"LV"	"yes"
"DOUBEK, Jonathan P"	"Lake Superior State University, School of Natural Resources & Environment and Center for Freshwater Research and Education, Sault Sainte Marie, Michigan, USA"	"US"	"yes"
"DULIĆ, Zorka"	"University of Belgrade, Faculty of Agriculture, Institute for Animal Sciences, Belgrade, 11000, Serbia"	"RS"	"yes"
"FIGARY, Stephanie E"	"Cornell University, Natural Resources and the Environment, Ithaca, NY"	"US"	"yes"
"FISCHER, Janet M"	"Franklin & Marshall College, Department of Biology, Lancaster,PA, 17604, USA"	"US"	"yes"
"FORASACO, Elena"	"Imperial College London, The Graduate School, London, SW7 2AZ"	"GB"	"yes"
"GAL, Gideon"	"Israel Oceanographic and Limnological Research, Kinneret Limnological Laboratory, Migdal, Israel"	"IL"	"yes"
"GARCÍA-GIRÓN, Jorge"	"University of Oulu, Geography Research Unit, FI-91004 Oulu, Finland"	"FI"	"yes"
"GARCÍA-GIRÓN, Jorge"	"University of León, Department of Biodiversity and Environmental Management, 24007 León, Spain"	"ES"	"yes"
"GER, Kemal A"	"Universidade Federal do Rio Grande do Norte, Departamento de Ecologia, Natal, RN, Brazil"	"BR"	"-"
"GJONI, Vojsava"	"University of South Dakota, Department of Biology, Vemillion, SD, USA"	"US"	"-"
"GRAY, Emma"	"Atlantic Technological University, Marine and Freshwater Research Centre, Galway, Ireland"	"GB-NIR"	"-"
"GROSBOIS, Guillaume"	"Université du Québec en Abitibi-Témiscamingue, Groupe de Recherche en Écologie de la MRC-Abitibi (GREMA), Forest Research Institute, Amos, Québec, Canada"	"CA"	"yes"
"GUTIERREZ, María F"	"Instituto Nacional de Limnología, Plankton, Santa Fe, Argentina"	"AR"	"yes"
"HALABOWSKI, Dariusz"	"University of Lodz, Faculty of Biology and Environmental Protection, Department of Ecology and Vertebrate Zoology, 90-237 Lodz, Poland"	"PL"	"yes"
"HAMBRIGHT, K. David"	"University of Oklahoma, School of Biological Sciences, Norman, OK, USA"	"US"	"yes"
"HARRIS, Ted D"	"Kansas Biological Survey, Lawrence, Kansas,USA 66047"	"US"	"yes"
"HOVEL, Rachel A"	"University of Maine-Farmington, Department of Biology, Farmington, Maine, USA"	"US"	"yes"
"JAKOBSSON, Ellinor"	"Uppsala University, Department of Ecology and Genetics: Limnology, 75236 Uppsala, Sweden"	"SE"	"yes"
"JENSEN, Thomas C"	"Norwegian Institute for Nature Research, NINA-Oslo, NO-0855 Oslo, Norway"	"NO"	"yes"
"KORPONAI, Janos L"	"University of Public Service, Department of Water Supply and Sewerage, 6500 Baja, Hungary"	"HU"	"yes"
